rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,mod,advanced-analytics,Advanced Analytics,stefanorigano,stefanorigano,https://github.com/stefanorigano,507,507,1431,1431,924,924,snapshot_2026_03_31.json,snapshot_2026_03_28.json
2,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,459,459,936,936,477,477,snapshot_2026_03_31.json,snapshot_2026_03_28.json
3,mod,danield1909-dantrains,"danTrains (v1.* ""Phoenix"")",DanielD1909,DanielD1909,https://github.com/DanielD1909,248,142,507,401,259,259,snapshot_2026_03_31.json,snapshot_2026_03_28.json
4,mod,citymapper,Citymapper,Gio1112,Gio1112,https://github.com/Gio1112,234,234,522,522,288,288,snapshot_2026_03_31.json,snapshot_2026_03_28.json
5,mod,distance-circles,Station Catchment Viewer,crumpetime,crumpetime,https://github.com/crumpetime,156,156,444,444,288,288,snapshot_2026_03_31.json,snapshot_2026_03_28.json
6,map,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://github.com/ahkimn,130,130,243,243,113,113,snapshot_2026_03_31.json,snapshot_2026_03_28.json
7,map,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,123,73,275,225,152,152,snapshot_2026_03_31.json,snapshot_2026_03_28.json
8,mod,any-money,anyMoney,nzh0172,nzh0172,https://github.com/nzh0172,122,122,236,236,114,114,snapshot_2026_03_31.json,snapshot_2026_03_28.json
9,map,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://github.com/ahkimn,118,68,274,224,156,156,snapshot_2026_03_31.json,snapshot_2026_03_28.json
10,map,dublin,Dublin,Kronifer,Kronifer,https://github.com/Kronifer,109,45,239,175,130,130,snapshot_2026_03_31.json,snapshot_2026_03_28.json
11,map,toronto,Toronto,devenperez,devenperez,https://github.com/devenperez,108,79,617,588,509,509,snapshot_2026_03_31.json,snapshot_2026_03_28.json
12,map,amsterdam,Amsterdam,ryandicicco,ryandicicco,https://github.com/ryandicicco,108,84,261,237,153,153,snapshot_2026_03_31.json,snapshot_2026_03_28.json
13,map,mfn-hong-kong,Hong Kong,crumpetime,crumpetime,https://github.com/crumpetime,105,79,322,296,217,217,snapshot_2026_03_31.json,snapshot_2026_03_28.json
14,map,yukina-fukuoka,福岡 (Fukuoka),ahkimn,Yukina-,https://github.com/ahkimn,100,40,165,100,65,60,snapshot_2026_03_31.json,snapshot_2026_03_28.json
15,map,glasgow-edinburgh,Glasgow-Edinburgh,Kronifer,Kronifer,https://github.com/Kronifer,99,99,197,197,98,98,snapshot_2026_03_31.json,snapshot_2026_03_28.json
16,map,vancouver,Vancouver,devenperez,devenperez,https://github.com/devenperez,95,48,354,307,259,259,snapshot_2026_03_31.json,snapshot_2026_03_28.json
17,map,montreal,Montreal,devenperez,devenperez,https://github.com/devenperez,93,56,437,400,344,344,snapshot_2026_03_31.json,snapshot_2026_03_28.json
18,map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,91,91,179,179,88,88,snapshot_2026_03_31.json,snapshot_2026_03_28.json
19,mod,cinematic-camera,Cinematic Camera,TransitCore,TransitCore,https://github.com/TransitCore,91,91,162,162,71,71,snapshot_2026_03_31.json,snapshot_2026_03_28.json
20,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://github.com/ahkimn,89,89,427,427,338,338,snapshot_2026_03_31.json,snapshot_2026_03_28.json
21,map,greater-los-angeles,Greater Los Angeles,rslurry,rslurry,https://github.com/rslurry,87,73,257,243,170,170,snapshot_2026_03_31.json,snapshot_2026_03_28.json
22,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,82,82,389,389,307,307,snapshot_2026_03_31.json,snapshot_2026_03_28.json
