rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,757,757,936,936,179,179,snapshot_2026_03_31.json,snapshot_2026_03_24.json
2,mod,advanced-analytics,Advanced Analytics,stefanorigano,stefanorigano,https://github.com/stefanorigano,719,719,1431,1431,712,712,snapshot_2026_03_31.json,snapshot_2026_03_24.json
3,mod,citymapper,Citymapper,Gio1112,Gio1112,https://github.com/Gio1112,375,375,522,522,147,147,snapshot_2026_03_31.json,snapshot_2026_03_24.json
4,mod,danield1909-dantrains,"danTrains (v1.* ""Phoenix"")",DanielD1909,DanielD1909,https://github.com/DanielD1909,355,279,507,401,152,122,snapshot_2026_03_31.json,snapshot_2026_03_24.json
5,mod,distance-circles,Station Catchment Viewer,crumpetime,crumpetime,https://github.com/crumpetime,242,242,444,444,202,202,snapshot_2026_03_31.json,snapshot_2026_03_24.json
6,map,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://github.com/ahkimn,236,236,243,243,7,7,snapshot_2026_03_31.json,snapshot_2026_03_24.json
7,mod,any-money,anyMoney,nzh0172,nzh0172,https://github.com/nzh0172,209,209,236,236,27,27,snapshot_2026_03_31.json,snapshot_2026_03_24.json
8,map,glasgow-edinburgh,Glasgow-Edinburgh,Kronifer,Kronifer,https://github.com/Kronifer,197,197,197,197,0,0,snapshot_2026_03_31.json,snapshot_2026_03_24.json
9,map,toronto,Toronto,devenperez,devenperez,https://github.com/devenperez,175,146,617,588,442,442,snapshot_2026_03_31.json,snapshot_2026_03_24.json
10,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://github.com/ahkimn,157,157,427,427,270,270,snapshot_2026_03_31.json,snapshot_2026_03_24.json
11,mod,cinematic-camera,Cinematic Camera,TransitCore,TransitCore,https://github.com/TransitCore,157,157,162,162,5,5,snapshot_2026_03_31.json,snapshot_2026_03_24.json
12,map,mfn-hong-kong,Hong Kong,crumpetime,crumpetime,https://github.com/crumpetime,155,131,322,296,167,165,snapshot_2026_03_31.json,snapshot_2026_03_24.json
13,map,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,155,117,275,225,120,108,snapshot_2026_03_31.json,snapshot_2026_03_24.json
14,map,greater-los-angeles,Greater Los Angeles,rslurry,rslurry,https://github.com/rslurry,151,137,257,243,106,106,snapshot_2026_03_31.json,snapshot_2026_03_24.json
15,map,sydney,Sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,146,132,155,137,9,5,snapshot_2026_03_31.json,snapshot_2026_03_24.json
16,map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,136,140,179,179,43,39,snapshot_2026_03_31.json,snapshot_2026_03_24.json
17,map,amsterdam,Amsterdam,ryandicicco,ryandicicco,https://github.com/ryandicicco,135,115,261,237,126,122,snapshot_2026_03_31.json,snapshot_2026_03_24.json
18,map,montreal,Montreal,devenperez,devenperez,https://github.com/devenperez,132,95,437,400,305,305,snapshot_2026_03_31.json,snapshot_2026_03_24.json
19,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,132,132,389,389,257,257,snapshot_2026_03_31.json,snapshot_2026_03_24.json
20,map,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://github.com/ahkimn,132,95,274,224,142,129,snapshot_2026_03_31.json,snapshot_2026_03_24.json
21,map,vancouver,Vancouver,devenperez,devenperez,https://github.com/devenperez,125,82,354,307,229,225,snapshot_2026_03_31.json,snapshot_2026_03_24.json
22,map,dublin,Dublin,Kronifer,Kronifer,https://github.com/Kronifer,119,81,239,175,120,94,snapshot_2026_03_31.json,snapshot_2026_03_24.json
23,map,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,114,114,155,155,41,41,snapshot_2026_03_31.json,snapshot_2026_03_24.json
24,map,yukina-fukuoka,福岡 (Fukuoka),ahkimn,Yukina-,https://github.com/ahkimn,100,52,165,100,65,48,snapshot_2026_03_31.json,snapshot_2026_03_24.json
25,map,los-angeles-county,Los Angeles County,rslurry,rslurry,https://github.com/rslurry,95,82,148,131,53,49,snapshot_2026_03_31.json,snapshot_2026_03_24.json
26,map,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,Yukina-,https://github.com/ahkimn,80,34,130,62,50,28,snapshot_2026_03_31.json,snapshot_2026_03_24.json
27,map,mfn-madisonwi,Madison,crumpetime,crumpetime,https://github.com/crumpetime,78,27,104,44,26,17,snapshot_2026_03_31.json,snapshot_2026_03_24.json
28,map,yukina-sapporo-chitose,札幌 (Sapporo),ahkimn,Yukina-,https://github.com/ahkimn,75,28,148,76,73,48,snapshot_2026_03_31.json,snapshot_2026_03_24.json
29,map,rome,Rome,Maximilian284,Maximilian284,https://github.com/Maximilian284,74,67,128,117,54,50,snapshot_2026_03_31.json,snapshot_2026_03_24.json
30,map,greatertwincities,Greater Twin Cities,DanielD1909,DanielD1909,https://github.com/DanielD1909,74,23,92,36,18,13,snapshot_2026_03_31.json,snapshot_2026_03_24.json
31,map,yukina-nagoya,名古屋 (Nagoya),ahkimn,Yukina-,https://github.com/ahkimn,71,71,71,71,0,0,snapshot_2026_03_31.json,snapshot_2026_03_24.json
32,map,waterloo,Region of Waterloo,Kronifer,Kronifer,https://github.com/Kronifer,70,4,122,43,52,39,snapshot_2026_03_31.json,snapshot_2026_03_24.json
33,map,milan,Milan,Maximilian284,Maximilian284,https://github.com/Maximilian284,69,73,141,141,72,68,snapshot_2026_03_31.json,snapshot_2026_03_24.json
34,map,mfn-hamptonroads,Norfolk,crumpetime,crumpetime,https://github.com/crumpetime,68,16,85,26,17,10,snapshot_2026_03_31.json,snapshot_2026_03_24.json
35,map,yukina-okinawa,沖縄 (Okinawa),ahkimn,Yukina-,https://github.com/ahkimn,66,30,120,58,54,28,snapshot_2026_03_31.json,snapshot_2026_03_24.json
36,map,yukina-kobe-akashi,神戸 (Kōbe),ahkimn,Yukina-,https://github.com/ahkimn,63,16,109,36,46,20,snapshot_2026_03_31.json,snapshot_2026_03_24.json
37,map,puerto-rico,Puerto Rico,rslurry,rslurry,https://github.com/rslurry,63,65,74,71,11,6,snapshot_2026_03_31.json,snapshot_2026_03_24.json
38,map,warsaw-val,Warsaw,Valdotorium,Valdotorium,https://github.com/Valdotorium,62,54,68,54,6,0,snapshot_2026_03_31.json,snapshot_2026_03_24.json
39,map,ottawa,Ottawa,devenperez,devenperez,https://github.com/devenperez,60,31,201,148,141,117,snapshot_2026_03_31.json,snapshot_2026_03_24.json
40,map,tel-aviv,Tel Aviv,BarKuperman,BarKuperman,https://github.com/BarKuperman,60,27,112,29,52,2,snapshot_2026_03_31.json,snapshot_2026_03_24.json
41,map,baltimore-dc-corridor,Baltimore-DC Corridor,rslurry,rslurry,https://github.com/rslurry,60,48,74,59,14,11,snapshot_2026_03_31.json,snapshot_2026_03_24.json
42,map,greater-kuala-lumpur,Greater Kuala Lumpur,nzh0172,nzh0172,https://github.com/nzh0172,60,27,66,27,6,0,snapshot_2026_03_31.json,snapshot_2026_03_24.json
43,map,calgary,Calgary,devenperez,devenperez,https://github.com/devenperez,54,27,198,138,144,111,snapshot_2026_03_31.json,snapshot_2026_03_24.json
44,map,jerusalem,Jerusalem,BarKuperman,BarKuperman,https://github.com/BarKuperman,54,18,81,22,27,4,snapshot_2026_03_31.json,snapshot_2026_03_24.json
45,map,cairo,Cairo,ryandicicco,ryandicicco,https://github.com/ryandicicco,54,38,54,38,0,0,snapshot_2026_03_31.json,snapshot_2026_03_24.json
46,map,providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,52,13,72,13,20,0,snapshot_2026_03_31.json,snapshot_2026_03_24.json
47,map,mfn-lasvegas,Las Vegas,crumpetime,crumpetime,https://github.com/crumpetime,52,46,52,46,0,0,snapshot_2026_03_31.json,snapshot_2026_03_24.json
48,map,yukina-matsuyama,松山 (Matsuyama),ahkimn,Yukina-,https://github.com/ahkimn,51,0,85,16,34,16,snapshot_2026_03_31.json,snapshot_2026_03_24.json
49,map,edmonton,Edmonton,devenperez,devenperez,https://github.com/devenperez,48,19,173,110,125,91,snapshot_2026_03_31.json,snapshot_2026_03_24.json
50,map,rotterdam-the-hague,Rotterdam-The Hague,ryandicicco,ryandicicco,https://github.com/ryandicicco,48,36,72,47,24,11,snapshot_2026_03_31.json,snapshot_2026_03_24.json
51,map,colorado-ski-country,Colorado Ski Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,47,11,71,12,24,1,snapshot_2026_03_31.json,snapshot_2026_03_24.json
52,map,yukina-sendai,仙台 (Sendai),ahkimn,Yukina-,https://github.com/ahkimn,45,5,93,28,48,23,snapshot_2026_03_31.json,snapshot_2026_03_24.json
53,map,yukina-hakodate,函館 (Hakodate),ahkimn,Yukina-,https://github.com/ahkimn,45,5,52,5,7,0,snapshot_2026_03_31.json,snapshot_2026_03_24.json
54,map,quebec-city,Quebec City,devenperez,devenperez,https://github.com/devenperez,44,25,164,107,120,82,snapshot_2026_03_31.json,snapshot_2026_03_24.json
55,map,albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,44,10,53,11,9,1,snapshot_2026_03_31.json,snapshot_2026_03_24.json
56,map,yukina-kitakyushu-shimonoseki,北九州 (Kitakyūshū),ahkimn,Yukina-,https://github.com/ahkimn,43,8,88,21,45,13,snapshot_2026_03_31.json,snapshot_2026_03_24.json
57,map,sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,43,0,58,0,15,0,snapshot_2026_03_31.json,snapshot_2026_03_24.json
58,map,tampa-bay,Tampa Bay,rslurry,rslurry,https://github.com/rslurry,42,18,74,46,32,28,snapshot_2026_03_31.json,snapshot_2026_03_24.json
59,map,winnipeg,Winnipeg,devenperez,devenperez,https://github.com/devenperez,41,11,153,89,112,78,snapshot_2026_03_31.json,snapshot_2026_03_24.json
60,map,mfn-northwestar,Northwest Arkansas,crumpetime,crumpetime,https://github.com/crumpetime,41,0,55,0,14,0,snapshot_2026_03_31.json,snapshot_2026_03_24.json
61,map,nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,41,0,50,0,9,0,snapshot_2026_03_31.json,snapshot_2026_03_24.json
62,map,louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,40,0,59,0,19,0,snapshot_2026_03_31.json,snapshot_2026_03_24.json
63,map,trondheim-val,Trondheim,Valdotorium,Valdotorium,https://github.com/Valdotorium,39,11,39,11,0,0,snapshot_2026_03_31.json,snapshot_2026_03_24.json
