rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
38,map,sydney,Sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,0,-18,155,137,155,155,snapshot_2026_03_31.json,snapshot_2026_03_30.json
39,map,winnipeg,Winnipeg,devenperez,devenperez,https://github.com/devenperez,0,-64,153,89,153,153,snapshot_2026_03_31.json,snapshot_2026_03_30.json
40,map,los-angeles-county,Los Angeles County,rslurry,rslurry,https://github.com/rslurry,0,-17,148,131,148,148,snapshot_2026_03_31.json,snapshot_2026_03_30.json
41,map,yukina-sapporo-chitose,札幌 (Sapporo),ahkimn,Yukina-,https://github.com/ahkimn,0,-72,148,76,148,148,snapshot_2026_03_31.json,snapshot_2026_03_30.json
42,map,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,Yukina-,https://github.com/ahkimn,0,-68,130,62,130,130,snapshot_2026_03_31.json,snapshot_2026_03_30.json
43,map,rome,Rome,Maximilian284,Maximilian284,https://github.com/Maximilian284,0,-11,128,117,128,128,snapshot_2026_03_31.json,snapshot_2026_03_30.json
44,map,waterloo,Region of Waterloo,Kronifer,Kronifer,https://github.com/Kronifer,0,-79,122,43,122,122,snapshot_2026_03_31.json,snapshot_2026_03_30.json
45,map,yukina-okinawa,沖縄 (Okinawa),ahkimn,Yukina-,https://github.com/ahkimn,0,-62,120,58,120,120,snapshot_2026_03_31.json,snapshot_2026_03_30.json
46,map,tel-aviv,Tel Aviv,BarKuperman,BarKuperman,https://github.com/BarKuperman,0,-83,112,29,112,112,snapshot_2026_03_31.json,snapshot_2026_03_30.json
47,map,yukina-kobe-akashi,神戸 (Kōbe),ahkimn,Yukina-,https://github.com/ahkimn,0,-73,109,36,109,109,snapshot_2026_03_31.json,snapshot_2026_03_30.json
48,map,mfn-madisonwi,Madison,crumpetime,crumpetime,https://github.com/crumpetime,0,-60,104,44,104,104,snapshot_2026_03_31.json,snapshot_2026_03_30.json
49,map,yukina-sendai,仙台 (Sendai),ahkimn,Yukina-,https://github.com/ahkimn,0,-65,93,28,93,93,snapshot_2026_03_31.json,snapshot_2026_03_30.json
50,map,greatertwincities,Greater Twin Cities,DanielD1909,DanielD1909,https://github.com/DanielD1909,0,-56,92,36,92,92,snapshot_2026_03_31.json,snapshot_2026_03_30.json
51,map,yukina-kitakyushu-shimonoseki,北九州 (Kitakyūshū),ahkimn,Yukina-,https://github.com/ahkimn,0,-67,88,21,88,88,snapshot_2026_03_31.json,snapshot_2026_03_30.json
52,map,mfn-hamptonroads,Norfolk,crumpetime,crumpetime,https://github.com/crumpetime,0,-59,85,26,85,85,snapshot_2026_03_31.json,snapshot_2026_03_30.json
53,map,yukina-matsuyama,松山 (Matsuyama),ahkimn,Yukina-,https://github.com/ahkimn,0,-69,85,16,85,85,snapshot_2026_03_31.json,snapshot_2026_03_30.json
54,map,jerusalem,Jerusalem,BarKuperman,BarKuperman,https://github.com/BarKuperman,0,-59,81,22,81,81,snapshot_2026_03_31.json,snapshot_2026_03_30.json
55,map,baltimore-dc-corridor,Baltimore-DC Corridor,rslurry,rslurry,https://github.com/rslurry,0,-15,74,59,74,74,snapshot_2026_03_31.json,snapshot_2026_03_30.json
56,map,puerto-rico,Puerto Rico,rslurry,rslurry,https://github.com/rslurry,0,-3,74,71,74,74,snapshot_2026_03_31.json,snapshot_2026_03_30.json
57,map,tampa-bay,Tampa Bay,rslurry,rslurry,https://github.com/rslurry,0,-28,74,46,74,74,snapshot_2026_03_31.json,snapshot_2026_03_30.json
58,map,providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,0,-59,72,13,72,72,snapshot_2026_03_31.json,snapshot_2026_03_30.json
59,map,rotterdam-the-hague,Rotterdam-The Hague,ryandicicco,ryandicicco,https://github.com/ryandicicco,0,-25,72,47,72,72,snapshot_2026_03_31.json,snapshot_2026_03_30.json
60,map,colorado-ski-country,Colorado Ski Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,0,-59,71,12,71,71,snapshot_2026_03_31.json,snapshot_2026_03_30.json
