rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://github.com/ahkimn,21,1240,578,1977,975,737,397,snapshot_2026_03_31.json,snapshot_2026_03_24.json
2,valdotorium/valdotoriums_trains,Valdotoriums_Trains,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,757,757,936,936,179,179,snapshot_2026_03_31.json,snapshot_2026_03_24.json
3,stefanorigano/advanced_analytics,advanced_analytics,stefanorigano,stefanorigano,https://github.com/stefanorigano,1,719,719,1431,1431,712,712,snapshot_2026_03_31.json,snapshot_2026_03_24.json
4,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,devenperez,devenperez,https://github.com/devenperez,8,679,436,2297,1887,1618,1451,snapshot_2026_03_31.json,snapshot_2026_03_24.json
5,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,rslurry,https://github.com/rslurry,16,665,408,1058,658,393,250,snapshot_2026_03_31.json,snapshot_2026_03_24.json
6,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,Maximilian284,Maximilian284,https://github.com/Maximilian284,14,409,254,705,411,296,157,snapshot_2026_03_31.json,snapshot_2026_03_24.json
7,gio1112/subway-builder-citymapper,subway-builder-citymapper,Gio1112,Gio1112,https://github.com/Gio1112,1,375,375,522,522,147,147,snapshot_2026_03_31.json,snapshot_2026_03_24.json
8,danield1909/dantrains,danTrains,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,355,279,507,401,152,122,snapshot_2026_03_31.json,snapshot_2026_03_24.json
9,valdotorium/railyard-maps-2,Railyard-Maps-2,Valdotorium,Valdotorium,https://github.com/Valdotorium,4,351,319,441,399,90,80,snapshot_2026_03_31.json,snapshot_2026_03_24.json
10,ryandicicco/subway-builder-maps,Subway-Builder-Maps,ryandicicco,ryandicicco,https://github.com/ryandicicco,5,269,216,419,349,150,133,snapshot_2026_03_31.json,snapshot_2026_03_24.json
11,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,crumpetime,crumpetime,https://github.com/crumpetime,1,242,242,444,444,202,202,snapshot_2026_03_31.json,snapshot_2026_03_24.json
12,nzh0172/sb-anymoney,sb-anymoney,nzh0172,nzh0172,https://github.com/nzh0172,1,209,209,236,236,27,27,snapshot_2026_03_31.json,snapshot_2026_03_24.json
13,kronifer/sb-glasgow-edinburgh-map,sb-glasgow-edinburgh-map,Kronifer,Kronifer,https://github.com/Kronifer,1,197,197,197,197,0,0,snapshot_2026_03_31.json,snapshot_2026_03_24.json
14,ahkimn/subwaybuilder-regions,subwaybuilder-regions,ahkimn,Yukina-,https://github.com/ahkimn,1,157,157,427,427,270,270,snapshot_2026_03_31.json,snapshot_2026_03_24.json
